(En millones de dólares),ACTIVO,Fondos Disponibles,Fondos Interbancarios Vendidos,Inversiones,Cartera de Crédito neta,Cartera Vigente,Cartera Vencida,Provisión para Crédito Incobrables,Deudores por aceptación,Cuentas por Cobrar,Bienes Adjudicados por Pago,Activo Fijo,Otros Activos,PASIVO,Obligaciones con el Publico,Operaciones Interbancarias,Obligaciones Inmediatas,Aceptaciones en Circulacion,Cuentas por Pagar,Obligaciones Financieras,Valores en Circulacion,Obligaciones Conv. en Acciones y Aportes,Otros Pasivos,PATRIMONIO,Capital Social,Primas o Dsctos Colocacion Acciones,Reservas,Otros Aportes Patrimoniales,Superavit por Valuaciones,Resultados,Utilidad o Pérdida Acumulado,Resultados del Ejercicio,TOTAL PASIVO + PATRIMONIO,CONTINGENTES NETOS,TOTAL ACTIVOS + CONTINGEN. NETOS,
Guayaquil hasta marzo 2020,5068.0,763.0,0.0,741.0,3240.0,3328.0,52.0,-140.0,0.0,47.0,3.0,130.0,144.0,4564.0,3730.0,0.0,15.0,0.0,168.0,596.0,0.0,31.0,25.0,504.0,392.0,0.0,106.0,0.0,5.0,2.0,0.0,2.0,5068.0,1723.0,6791.0,
Variación Banco Guayaquil Monto hasta marzo 2020,-9.0,-169.0,0.0,116.0,36.0,75.0,3.0,-42.0,0.0,-7.0,0.0,-1.0,16.0,25.0,11.0,0.0,5.0,0.0,-16.0,1.0,0.0,0.0,24.0,-35.0,0.0,0.0,44.0,0.0,0.0,-79.0,0.0,-79.0,-9.0,70.0,61.0,
Variación Banco Guayaquil % hasta marzo 2020,-0.2,-18.1,0.0,18.6,1.1,2.3,5.5,43.1,0.0,-12.9,7.8,-0.8,12.3,0.6,0.3,0.0,45.8,0.0,-8.7,0.2,0.0,0.0,2028.2,-6.4,0.0,0.0,72.4,0.0,0.7,-97.9,0.0,-97.9,-0.2,4.3,0.9,
Variación Total Sistema Monto hasta marzo 2020,-567.0,-667.0,5.0,75.0,-130.0,47.0,-30.0,-146.0,2.0,57.0,1.0,-4.0,94.0,-511.0,-657.0,5.0,35.0,2.0,-174.0,273.0,0.0,20.0,-14.0,-56.0,2.0,0.0,330.0,0.0,-69.0,-320.0,198.0,-518.0,-567.0,295.0,-271.0,
"Variación Total Sistema %
 hasta marzo 2020",-1.3,-9.8,0.0,1.2,-0.5,0.2,-3.7,7.9,6.1,10.2,0.8,-0.6,4.7,-1.3,-2.0,0.0,30.6,6.1,-8.8,9.4,0.0,4.8,-5.7,-1.1,0.1,0.0,44.0,0.0,-27.1,-49.1,560.3,-84.0,-1.3,2.3,-0.5,
Total Sistema hasta marzo 2022,53361.0,8256.0,0.0,8716.0,32489.0,34197.0,714.0,-2422.0,12.0,750.0,95.0,791.0,2251.0,47845.0,41699.0,0.0,341.0,12.0,1959.0,2784.0,280.0,512.0,258.0,5516.0,4018.0,2.0,1023.0,2.0,270.0,202.0,55.0,147.0,53361.0,14571.0,67932.0,
Guayaquil hasta marzo 2022,6536.0,888.0,0.0,1090.0,4158.0,4291.0,55.0,-189.0,0.0,65.0,23.0,113.0,200.0,5944.0,5176.0,0.0,47.0,0.0,177.0,474.0,18.0,50.0,2.0,591.0,483.0,0.0,80.0,0.0,5.0,22.0,0.0,22.0,6536.0,1776.0,8312.0,
Variación Banco Guayaquil Monto hasta marzo 2022,171.0,-123.0,0.0,113.0,165.0,162.0,10.0,-7.0,0.0,-2.0,-3.0,1.0,19.0,182.0,165.0,0.0,-3.0,0.0,3.0,16.0,0.0,0.0,0.0,-11.0,33.0,0.0,7.0,0.0,0.0,-52.0,0.0,-52.0,171.0,102.0,273.0,
Variación Banco Guayaquil % hasta marzo 2022,2.7,-12.1,0.0,11.5,4.1,3.9,21.7,3.6,0.0,-2.4,-9.9,1.3,10.4,3.2,3.3,0.0,-5.5,0.0,2.0,3.5,0.0,0.0,8.2,-1.8,7.4,0.0,10.2,0.0,2.5,-70.0,0.0,-70.0,2.7,6.1,3.4,
Variación Total Sistema Monto hasta marzo 2022,962.0,-933.0,0.0,494.0,1160.0,1190.0,61.0,-91.0,11.0,-4.0,-7.0,-5.0,246.0,949.0,493.0,0.0,120.0,11.0,113.0,11.0,150.0,0.0,51.0,13.0,58.0,0.0,200.0,0.0,-8.0,-238.0,3.0,-241.0,962.0,416.0,1378.0,
